Date,AAPL,JPM,KO,XOM
2020-01-02,72.40052795410156,118.43032836914062,45.432716369628906,53.3064079284668
2020-01-03,71.69664001464844,116.86746215820312,45.18484878540039,52.87785720825195
2020-01-06,72.26792907714844,116.77455139160156,45.1683235168457,53.28385925292969
2020-01-07,71.92804718017578,114.78927612304688,44.821319580078125,52.84778594970703
2020-01-08,73.08512115478516,115.68476867675781,44.903934478759766,52.05082321166992
2020-01-09,74.63748931884766,116.10717010498047,45.72188186645508,52.44929504394531
2020-01-10,74.80622863769531,114.94982147216797,45.87885284423828,51.983158111572266
2020-01-13,76.4044189453125,115.90440368652344,46.37458801269531,52.4793701171875
2020-01-14,75.37271118164062,117.25609588623047,46.26716613769531,52.02825927734375
2020-01-15,75.04967498779297,115.4989242553711,46.84550476074219,51.94554901123047
2020-01-16,75.98981475830078,115.9466552734375,46.94465255737305,51.742557525634766
2020-01-17,76.8310775756836,116.74917602539062,47.04379653930664,51.547061920166016
2020-01-21,76.31041717529297,115.60031127929688,47.23382568359375,50.81026077270508
2020-01-22,76.58280181884766,115.46512603759766,47.597354888916016,50.51704025268555
2020-01-23,76.95159912109375,115.34685516357422,47.77912521362305,50.20124816894531
2020-01-24,76.72984313964844,112.48303985595703,47.65518569946289,49.86292266845703
2020-01-27,74.47358703613281,111.53688049316406,47.489952087402344,48.674991607666016
2020-01-28,76.58038330078125,113.5643539428711,47.10163116455078,48.607330322265625
2020-01-29,78.18340301513672,113.3954086303711,47.10163116455078,48.20131301879883
2020-01-30,78.07007598876953,114.79777526855469,48.63010787963867,48.712581634521484
2020-01-31,74.60857391357422,111.81568145751953,48.250057220458984,46.70513916015625
2020-02-03,74.40367126464844,112.66889953613281,48.39876174926758,45.660064697265625
2020-02-04,76.86000061035156,114.29087829589844,48.61357498168945,45.08864974975586
2020-02-05,77.48675537109375,116.23387145996094,48.62183380126953,47.16376876831055
2020-02-06,78.39311218261719,116.25080871582031,48.73751449584961,46.52468490600586
2020-02-07,77.32754516601562,115.87908935546875,48.902740478515625,46.216434478759766
2020-02-10,77.69480895996094,116.36063385009766,49.36542892456055,45.72833251953125
2020-02-11,77.22606658935547,116.58023834228516,49.23323059082031,46.16304397583008
2020-02-12,79.05998992919922,116.58023834228516,49.08451461791992,46.72739791870117
